"time","age0","age10","age20","age30","age40","age50","age60","age70","age80","age90"
1960,7941345,5064682,4255785,2926453,2104964,1474230,864140,321593,0,0
1961,8330186,5120528,4393060,2987916,2154627,1492633,880406,340923,0,0
1962,8654132,5225125,4513927,3061297,2210697,1527018,898825,353542,0,0
1963,8955786,5375068,4590600,3148634,2273571,1576341,911748,357878,0,0
1964,9155797,5598769,4640279,3271141,2328024,1623340,912204,379013,0,0
1965,9260938,5924880,4654662,3400903,2385998,1665823,934334,397242,0,0
1966,9348769,6264817,4664046,3552649,2426535,1712579,965378,417464,0,0
1967,9405609,6576568,4720262,3705104,2485024,1757736,987233,407686,0,0
1968,9394179,6923586,4791983,3859974,2564014,1785467,1014491,413241,0,0
1969,9307968,7346898,4853167,3984412,2659754,1808967,1063379,423916,0,0
1970,9178059,7800664,4905013,4104729,2738683,1863598,1087498,461658,0,0
1971,9144452,8119553,4938734,4217555,2807500,1915542,1151876,484290,0,0
1972,9132951,8448968,5039442,4335104,2870746,1944205,1144768,482690,0,0
1973,9108837,8700654,5158812,4404778,2957489,1997063,1174829,489235,0,0
1974,9111869,8852753,5332732,4443536,3072762,2059584,1209975,492242,0,0
1975,9019218,8929454,5609680,4454808,3218620,2122328,1247576,540201,0,0
1976,8920678,8969160,5924932,4487677,3362691,2176668,1301622,561432,0,0
1977,8834521,8985372,6192511,4571664,3507936,2236466,1351829,580751,0,0
1978,8733945,8986102,6471080,4666598,3652468,2308764,1389412,601357,0,0
1979,8609867,8982973,6798760,4746625,3792643,2386660,1420177,627194,0,0
1980,8492153,8978311,7166204,4804779,3934658,2455761,1459833,653854,0,0
1981,8392530,8944440,7564176,4865160,4077733,2520856,1500842,677033,0,0
1982,8280711,8936991,7869818,4980388,4202586,2603267,1551828,713847,0,0
1983,8176520,8929268,8107050,5156910,4290826,2699521,1610037,745572,0,0
1984,8003674,8927240,8264879,5400124,4343195,2815628,1668340,777503,0,0
1985,7813200,8899119,8372228,5641464,4382241,2945338,1722513,814461,0,0
1986,7681989,8829774,8451811,5908962,4426736,3078498,1774538,835103,0,0
1987,7553089,8743260,8499504,6177046,4493811,3222598,1830316,864064,0,0
1988,7440020,8628775,8524351,6459563,4567984,3369072,1896280,894939,0,0
1989,7299645,8512007,8550627,6771973,4638416,3511584,1977854,923840,0,0
1990,7046684,8368922,8669156,7177031,4644457,3611218,2057582,991981,0,0
1991,6883518,8272243,8693026,7532707,4701261,3740574,2125038,1030417,0,0
1992,6757079,8173105,8721316,7834087,4788646,3860429,2206319,1074730,0,0
1993,6684234,8046873,8734943,8088793,4923489,3946332,2298275,1123536,0,0
1994,6674947,7888173,8728208,8277956,5132178,3993284,2407020,1175000,0,0
1995,6712457,7721319,8692336,8388772,5414295,4018637,2536737,1226219,0,0
1996,6747555,7609238,8591946,8461582,5695769,4036100,2687781,1272886,0,0
1997,6794072,7470796,8501785,8524988,5958810,4114717,2823810,1323097,0,0
1998,6820138,7332003,8379131,8520245,6238652,4202993,2954190,1383012,0,0
1999,6808325,7163724,8271794,8506570,6576262,4286725,3077794,1457657,0,0
2000,6781247,6972414,8207295,8521071,6941881,4372251,3198268,1530297,438511,0
2001,6686381,6782517,8146912,8558588,7310780,4434082,3325451,1600014,463775,0
2002,6504889,6645431,8044534,8588852,7618235,4538448,3442891,1689857,495803,0
2003,6275108,6576957,7936939,8600619,7893969,4671940,3529979,1783151,532558,0
2004,6035762,6567659,7770541,8596427,8097091,4871748,3576801,1887444,572472,0
2005,5778355,6599299,7586669,8534411,8208764,5137425,3609022,2007908,606759,0
2006,5512560,6633411,7483181,8483435,8302627,5432282,3670700,2134630,645606,72354
2007,5288556,6668109,7373114,8408215,8360182,5712013,3761552,2258599,689174,76804
2008,5123969,6691647,7267293,8327585,8432827,6025575,3874032,2384494,739327,80386
2009,4949235,6696529,7146748,8212169,8471547,6335965,3968959,2514184,798405,86488
2010,4777092,6665461,7001498,8128301,8507226,6676317,4048525,2645334,862256,96374
2011,4663551,6575840,6916137,8089278,8532657,7065330,4126916,2768995,929938,108659
2012,4605415,6377339,6819000,8010521,8532106,7416971,4226972,2886668,1005361,121702
2013,4581981,6138557,6774405,7902967,8531557,7718223,4368978,2980754,1084542,134989
2014,4556635,5906831,6774619,7778651,8514426,7949223,4584198,3043425,1165001,147928
